Action,Symbol,AvgRank,Reason
SELL,NSE:ACUTAAS,,no longer rankable (missing recent price data)
SELL,NSE:ADANIGREEN,,below 200DEMA
SELL,NSE:ADANIPOWER,,below 200DEMA
SELL,NSE:ANANDRATHI,,below 200DEMA
SELL,NSE:APARINDS,,no longer rankable (missing recent price data)
SELL,NSE:ARVIND,,no longer rankable (missing recent price data)
SELL,NSE:ASTRAMICRO,,no longer rankable (missing recent price data)
SELL,NSE:AVALON,,no longer rankable (missing recent price data)
SELL,NSE:BBOX,,below 200DEMA
SELL,NSE:BSE,,below 200DEMA
SELL,NSE:FEDERALBNK,,no longer rankable (missing recent price data)
SELL,NSE:HFCL,,no longer rankable (missing recent price data)
SELL,NSE:POWERINDIA,,no longer rankable (missing recent price data)
SELL,NSE:SANSERA,,no longer rankable (missing recent price data)
SELL,NSE:SCHNEIDER,,below 200DEMA
SELL,NSE:TDPOWERSYS,,below 200DEMA
HOLD,NSE:ADANIENSOL,49.0,"still eligible, rank within hold band"
HOLD,NSE:APOLLO,46.25,"still eligible, rank within hold band"
HOLD,NSE:BHEL,15.0,"still eligible, rank within hold band"
HOLD,NSE:CUPID,1.0,"still eligible, rank within hold band"
HOLD,NSE:DIACABS,15.25,"still eligible, rank within hold band"
HOLD,NSE:GRWRHITECH,7.75,"still eligible, rank within hold band"
HOLD,NSE:IDEA,18.25,"still eligible, rank within hold band"
HOLD,NSE:LAURUSLABS,5.0,"still eligible, rank within hold band"
HOLD,NSE:MAHABANK,50.25,"still eligible, rank within hold band"
HOLD,NSE:PARAS,16.75,"still eligible, rank within hold band"
HOLD,NSE:RRKABEL,7.25,"still eligible, rank within hold band"
HOLD,NSE:SYRMA,8.5,"still eligible, rank within hold band"
HOLD,NSE:THANGAMAYL,35.25,"still eligible, rank within hold band"
HOLD,NSE:WELCORP,3.25,"still eligible, rank within hold band"
BUY,NSE:SKYGOLD,7.0,rank 7.00 among best available
BUY,NSE:OFSS,13.75,rank 13.75 among best available
BUY,NSE:AZAD,20.25,rank 20.25 among best available
BUY,NSE:MARKSANS,23.0,rank 23.00 among best available
BUY,NSE:CGCL,23.0,rank 23.00 among best available
BUY,NSE:MOTHERSON,24.75,rank 24.75 among best available
BUY,NSE:ICIL,25.75,rank 25.75 among best available
BUY,NSE:THYROCARE,27.75,rank 27.75 among best available
BUY,NSE:APOLLOHOSP,29.0,rank 29.00 among best available
BUY,NSE:BAJAJ-AUTO,32.25,rank 32.25 among best available
BUY,NSE:HSCL,32.5,rank 32.50 among best available
BUY,NSE:MCX,33.75,rank 33.75 among best available
BUY,NSE:ZYDUSLIFE,35.5,rank 35.50 among best available
BUY,NSE:KARURVYSYA,36.25,rank 36.25 among best available
BUY,NSE:LALPATHLAB,38.0,rank 38.00 among best available
BUY,NSE:SHYAMMETL,38.5,rank 38.50 among best available
