Action,Symbol,AvgRank,Reason
SELL,NSE:ACMESOLAR,,no longer rankable (missing recent price data)
SELL,NSE:ACUTAAS,,no longer rankable (missing recent price data)
SELL,NSE:ANANDRATHI,,no longer rankable (missing recent price data)
SELL,NSE:APARINDS,,no longer rankable (missing recent price data)
SELL,NSE:BSE,,below 200DEMA
SELL,NSE:CEMPRO,,no longer rankable (missing recent price data)
SELL,NSE:CUMMINSIND,,no longer rankable (missing recent price data)
SELL,NSE:DATAPATTNS,,no longer rankable (missing recent price data)
SELL,NSE:FEDERALBNK,,no longer rankable (missing recent price data)
SELL,NSE:GVT&D,,below 200DEMA
SELL,NSE:HFCL,,no longer rankable (missing recent price data)
SELL,NSE:LLOYDSME,,no longer rankable (missing recent price data)
SELL,NSE:MAHABANK,,below 200DEMA
SELL,NSE:POLYCAB,,no longer rankable (missing recent price data)
SELL,NSE:POWERINDIA,,no longer rankable (missing recent price data)
SELL,NSE:SCHNEIDER,,no longer rankable (missing recent price data)
SELL,NSE:STARHEALTH,,no longer rankable (missing recent price data)
HOLD,NSE:ABSLAMC,40.5,"still eligible, rank within hold band"
HOLD,NSE:ADANIENSOL,7.75,"still eligible, rank within hold band"
HOLD,NSE:ADANIGREEN,14.5,"still eligible, rank within hold band"
HOLD,NSE:ADANIPOWER,26.25,"still eligible, rank within hold band"
HOLD,NSE:BHEL,14.5,"still eligible, rank within hold band"
HOLD,NSE:CGPOWER,27.0,"still eligible, rank within hold band"
HOLD,NSE:HSCL,18.25,"still eligible, rank within hold band"
HOLD,NSE:IDEA,20.0,"still eligible, rank within hold band"
HOLD,NSE:J&KBANK,9.75,"still eligible, rank within hold band"
HOLD,NSE:LAURUSLABS,3.5,"still eligible, rank within hold band"
HOLD,NSE:RRKABEL,8.75,"still eligible, rank within hold band"
HOLD,NSE:SYRMA,5.5,"still eligible, rank within hold band"
HOLD,NSE:WELCORP,2.5,"still eligible, rank within hold band"
BUY,NSE:JBCHEPHARM,4.25,rank 4.25 among best available
BUY,NSE:OFSS,12.75,rank 12.75 among best available
BUY,NSE:CGCL,15.0,rank 15.00 among best available
BUY,NSE:APOLLOHOSP,19.75,rank 19.75 among best available
BUY,NSE:ZYDUSLIFE,23.25,rank 23.25 among best available
BUY,NSE:ADANIPORTS,26.0,rank 26.00 among best available
BUY,NSE:ADANIENT,26.0,rank 26.00 among best available
BUY,NSE:RBLBANK,26.25,rank 26.25 among best available
BUY,NSE:SUNPHARMA,29.0,rank 29.00 among best available
BUY,NSE:CCL,30.5,rank 30.50 among best available
BUY,NSE:ABCAPITAL,30.75,rank 30.75 among best available
BUY,NSE:LUPIN,30.75,rank 30.75 among best available
BUY,NSE:BIOCON,31.75,rank 31.75 among best available
BUY,NSE:BANDHANBNK,32.75,rank 32.75 among best available
BUY,NSE:LALPATHLAB,33.25,rank 33.25 among best available
BUY,NSE:SHYAMMETL,33.25,rank 33.25 among best available
BUY,NSE:ZYDUSWELL,33.25,rank 33.25 among best available
